Source,Target,Type,Kind,Id,Label,timeset,Weight
ICX,ETH,Directed,,0,,,0.0345608468364986
AE,BTC,Directed,,1,,,0.00133516330574453
ETH,USDT,Directed,,2,,,0.000580439198993927
NEO,BTC,Directed,,3,,,0.000407141838362125
HC,BTC,Directed,,4,,,0.00138793315389
OMG,BTC,Directed,,5,,,0.000407141838362146
ETH,BTC,Directed,,6,,,0.00089272197665499
AST,BTC,Directed,,7,,,0.0015439681359057
BTC,USDT,Directed,,8,,,0.000114078299196281
MANA,ETH,Directed,,9,,,0.00059509793643022
VET,ETH,Directed,,10,,,0.00364347598161074
XVG,ETH,Directed,,11,,,0.00230896074729628
AE,ETH,Directed,,12,,,0.00226438721763481
XMR,ETH,Directed,,13,,,0.00114779939166038
VET,BTC,Directed,,14,,,-0.00779291670129637
EOS,ETH,Directed,,15,,,-0.000677383717788906
ZEC,BTC,Directed,,16,,,-0.000396398034600524
WTC,ETH,Directed,,17,,,-0.00976896907771814
THETA,BTC,Directed,,18,,,-0.000954882861213626
ETC,USDT,Directed,,19,,,-0.00146247902181731
EOS,USDT,Directed,,20,,,-0.000905510028523466
NAS,BTC,Directed,,21,,,-0.00251119871542535
POWR,BTC,Directed,,22,,,-0.00146715725641695
TRX,ETH,Directed,,23,,,-0.00123959859004047
ELF,BTC,Directed,,24,,,-0.00180335374019502
XEM,BTC,Directed,,25,,,-0.00158768795593166
OMG,ETH,Directed,,26,,,-0.00157796412158225
ONT,ETH,Directed,,27,,,-0.00578432563919856
XLM,BTC,Directed,,28,,,-0.00157610653118423
ONT,USDT,Directed,,29,,,-0.00452488687782806
XMR,BTC,Directed,,30,,,-0.00135776343980013
TRX,USDT,Directed,,31,,,-0.000695894224078032
DCR,BTC,Directed,,32,,,-0.00399025219169677
NANO,ETH,Directed,,33,,,-0.0127735648047313
NEO,USDT,Directed,,34,,,-0.00277008310249302
LTC,USDT,Directed,,35,,,-0.00100401606425695
ADA,ETH,Directed,,36,,,-0.00216942178158093
LTC,BTC,Directed,,37,,,-0.000367766869490865
SALT,BTC,Directed,,38,,,-0.00421723632113749
POLY,BTC,Directed,,39,,,-0.00391634640967884
BAT,BTC,Directed,,40,,,-0.00417720860794388
KNC,BTC,Directed,,41,,,-0.00408960187938786
VET,USDT,Directed,,42,,,-0.00852878464818766
WAVES,ETH,Directed,,43,,,-0.00845397023700328
CVC,BTC,Directed,,44,,,-0.00462002972866473
XZC,BTC,Directed,,45,,,-0.00611016853192026
ZEN,BTC,Directed,,46,,,-0.00635693619976063
XRP,USDT,Directed,,47,,,-0.000293083235638889
EOS,BTC,Directed,,48,,,-0.00116527595355999
TNB,BTC,Directed,,49,,,-0.00921215760239134
WAVES,BTC,Directed,,50,,,-0.00571779984636245
XRP,BTC,Directed,,51,,,-0.000610911562423127
QTUM,USDT,Directed,,52,,,-0.00531632110579479
MANA,BTC,Directed,,53,,,-0.00159768209317786
DASH,BTC,Directed,,54,,,-0.0032115946640016
WTC,BTC,Directed,,55,,,-0.00566206225772496
ZRX,BTC,Directed,,56,,,-0.00232650976792909
XLM,USDT,Directed,,57,,,-0.000734214390601975
XLM,ETH,Directed,,58,,,-0.00452908624944235
CMT,BTC,Directed,,59,,,-0.00623272857206942
ADA,USDT,Directed,,60,,,-0.00284900284900273
ETC,BTC,Directed,,61,,,-0.00144375019094091
ONT,BTC,Directed,,62,,,-0.00541256230264056
TNT,BTC,Directed,,63,,,-0.0102638676745804
TRX,BTC,Directed,,64,,,-0.00227491484216964
NANO,BTC,Directed,,65,,,-0.0158596409557577
OST,BTC,Directed,,66,,,-0.0112556357219297
